Scenario,Region,Variable,Unit,2019,2024,2030,2035,2040,2050
baseline_noce,AFZ,Final Energy|Industry|Solids,EJ/yr,0.49789499972053,0.442148060401315,0.505026072784245,0.658864401556692,0.7895801922826869,0.0598688534219951
baseline_noce,AFZ,Final Energy|Industry|Solids|Coal,EJ/yr,0.37138099973803995,0.336837088523442,0.41758998030858696,0.586099141114668,0.7340095727075621,0.052124192140625296
baseline_noce,AFZ,Final Energy|Residential|Electricity,EJ/yr,0.213717006357278,0.29006621795515003,0.39167109552908697,0.484562834425941,0.599703379655536,0.847570401035148
baseline_noce,AFZ,Final Energy|Residential|Gases,EJ/yr,0.000205000009993341,0.010454600666021401,0.027272946227343203,0.045306587409440394,0.0672916633015799,2.78010538592737e-06
baseline_noce,AFZ,Final Energy|Residential|Gases|Gas,EJ/yr,0.000205000009993341,0.010454600666021401,0.027272946227343203,0.045306587409440394,0.0672916633015799,2.78010538592737e-06
baseline_noce,AFZ,Final Energy|Residential|Hydrogen,EJ/yr,,4.0193555360707104e-08,4.50084471289776e-10,9.383738718269769e-10,9.086231574650259e-10,4.52008520597105e-10
baseline_noce,AFZ,Final Energy|Residential|Liquids,EJ/yr,0.0534530000045394,0.055642658497778906,0.0597325745852739,0.0643696197838356,0.0722701947699511,0.0440754445248887
baseline_noce,AFZ,Final Energy|Residential|Liquids|Oil,EJ/yr,0.0534530000045394,0.055642658497778906,0.0597325745852739,0.0643696197838356,0.0722701947699511,0.0440754445248887
baseline_noce,AFZ,Final Energy|Residential|Solids,EJ/yr,1.27099899998723,1.13522180508523,0.90410926266273,0.630711783091935,0.275019496513018,6.88984473440229e-10
baseline_noce,AFZ,Final Energy|Residential|Solids|Coal,EJ/yr,0.197348000003231,0.15891214791625502,0.111764118372371,0.07189465070492879,0.0394531899318901,1.36515208048852e-10
baseline_noce,AFZ,Final Energy|Commercial|Electricity,EJ/yr,0.115461,0.122300880959638,0.122917580409228,0.142456830908104,0.16432053982353098,0.25322794707533397
baseline_noce,AFZ,Final Energy|Commercial|Gases,EJ/yr,0.00121499999438644,0.0011933611629477501,0.00124300462963878,0.000720840495996366,0.000657890433107335,0.000479340317533349
baseline_noce,AFZ,Final Energy|Commercial|Gases|Gas,EJ/yr,0.00121499999438644,0.0011933611629477501,0.00124300462963878,0.000720840274937388,0.0006578901406837821,0.000479339998752204
baseline_noce,AFZ,Final Energy|Commercial|Hydrogen,EJ/yr,,2.49429907830183e-08,2.2939342636696598e-10,3.90709487701638e-10,3.0469653221069203e-10,3.08788189893159e-10
baseline_noce,AFZ,Final Energy|Commercial|Heat,EJ/yr,,0.0002800417206338,0.000637001600841185,0.00101695038771634,0.00149414834574305,0.00109851275135589
baseline_noce,AFZ,Final Energy|Commercial|Liquids,EJ/yr,0.037568000000055696,0.0270411742071276,0.0145441025536824,0.00427440635948358,0.0073942487414640394,0.005707821427368969
baseline_noce,AFZ,Final Energy|Commercial|Liquids|Oil,EJ/yr,0.037568000000055696,0.0270411742071276,0.0145441025536824,0.0042744063081674305,0.0073942487414640394,0.005707821427368969
baseline_noce,AFZ,Final Energy|Commercial|Solids,EJ/yr,0.102061000021916,0.08563278420494601,0.0808480597706522,0.08105688611638741,0.0648966317218928,0.00496651763801137
