Scenario,Scope,Series,Year,Value,Unit,Figure
baseline_noce,EUM,Secondary,2019,3.36999999824855,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Secondary,2024,1.82208909447961,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Secondary,2030,1.30966648730138,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Secondary,2035,1.35455213758797,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Secondary,2040,0.299619986712425,Mt/yr,production_aluminium_eum
baseline_noce,EUM,Secondary,2050,,Mt/yr,production_aluminium_eum
baseline_noce,EUW,Cement,2019,58.6514999978945,Mt/yr,production_cement_euw
baseline_noce,EUW,Cement,2024,51.8772520628976,Mt/yr,production_cement_euw
baseline_noce,EUW,Cement,2030,51.8479260019438,Mt/yr,production_cement_euw
baseline_noce,EUW,Cement,2035,52.1998350019006,Mt/yr,production_cement_euw
baseline_noce,EUW,Cement,2040,51.4373655016584,Mt/yr,production_cement_euw
baseline_noce,EUW,Cement,2050,49.9710780033902,Mt/yr,production_cement_euw
baseline_noce,EUW,Clinker,2019,43.6349999834506,Mt/yr,production_cement_euw
baseline_noce,EUW,Clinker,2024,38.3718918417063,Mt/yr,production_cement_euw
baseline_noce,EUW,Clinker,2030,37.4795560011207,Mt/yr,production_cement_euw
baseline_noce,EUW,Clinker,2035,36.9879350015625,Mt/yr,production_cement_euw
baseline_noce,EUW,Clinker,2040,35.7501555015316,Mt/yr,production_cement_euw
baseline_noce,EUW,Clinker,2050,33.4593179896489,Mt/yr,production_cement_euw
baseline_noce,EUW,Total,2019,69.42126276674139,Mt/yr,production_steel_euw
baseline_noce,EUW,Total,2024,61.784924028610504,Mt/yr,production_steel_euw
baseline_noce,EUW,Total,2030,56.8560141908287,Mt/yr,production_steel_euw
baseline_noce,EUW,Total,2035,51.6494194495071,Mt/yr,production_steel_euw
baseline_noce,EUW,Total,2040,46.9287736001222,Mt/yr,production_steel_euw
baseline_noce,EUW,Total,2050,,Mt/yr,production_steel_euw
baseline_noce,EUW,Primary,2019,52.7135204697284,Mt/yr,production_steel_euw
baseline_noce,EUW,Primary,2024,42.3928867176171,Mt/yr,production_steel_euw
baseline_noce,EUW,Primary,2030,35.8089135679003,Mt/yr,production_steel_euw
baseline_noce,EUW,Primary,2035,27.2580660913221,Mt/yr,production_steel_euw
baseline_noce,EUW,Primary,2040,24.5213086040942,Mt/yr,production_steel_euw
baseline_noce,EUW,Primary,2050,38.7370646098543,Mt/yr,production_steel_euw
baseline_noce,EUW,Secondary,2019,16.707742297013,Mt/yr,production_steel_euw
baseline_noce,EUW,Secondary,2024,19.3920373109934,Mt/yr,production_steel_euw
baseline_noce,EUW,Secondary,2030,21.0471006229284,Mt/yr,production_steel_euw
baseline_noce,EUW,Secondary,2035,24.391353358185,Mt/yr,production_steel_euw
baseline_noce,EUW,Secondary,2040,22.407464996028,Mt/yr,production_steel_euw
baseline_noce,EUW,Secondary,2050,,Mt/yr,production_steel_euw
baseline_noce,EUW,Total,2019,2.740000006294508,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Total,2024,6.449960031178991,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Total,2030,7.41991999690756,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Total,2035,7.90489999771805,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Total,2040,8.25013999585119,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Total,2050,8.02271999746821,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Primary,2019,0.819999998434798,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Primary,2024,1.1268970986063,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Primary,2030,1.26851656670508,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Primary,2035,1.54267208182544,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Primary,2040,1.70358453984375,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Primary,2050,4.00420571484936,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Secondary,2019,1.92000000785971,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Secondary,2024,5.32306293257269,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Secondary,2030,6.15140343020248,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Secondary,2035,6.36222791589261,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Secondary,2040,6.54655545600744,Mt/yr,production_aluminium_euw
baseline_noce,EUW,Secondary,2050,4.01851428261885,Mt/yr,production_aluminium_euw
baseline_noce,Global,Cement,2019,,EJ/yr,energy
baseline_noce,Global,Cement,2024,11.408035618838122,EJ/yr,energy
baseline_noce,Global,Cement,2030,10.831210346396302,EJ/yr,energy
baseline_noce,Global,Cement,2035,10.569945632238754,EJ/yr,energy
baseline_noce,Global,Cement,2040,10.421978867098597,EJ/yr,energy
baseline_noce,Global,Cement,2050,10.19422959728947,EJ/yr,energy
baseline_noce,Global,Iron and steel,2019,,EJ/yr,energy
baseline_noce,Global,Iron and steel,2024,,EJ/yr,energy
baseline_noce,Global,Iron and steel,2030,,EJ/yr,energy
baseline_noce,Global,Iron and steel,2035,,EJ/yr,energy
baseline_noce,Global,Iron and steel,2040,,EJ/yr,energy
baseline_noce,Global,Iron and steel,2050,,EJ/yr,energy
baseline_noce,Global,Aluminium,2019,,EJ/yr,energy
baseline_noce,Global,Aluminium,2024,,EJ/yr,energy
baseline_noce,Global,Aluminium,2030,,EJ/yr,energy
baseline_noce,Global,Aluminium,2035,,EJ/yr,energy
baseline_noce,Global,Aluminium,2040,,EJ/yr,energy
baseline_noce,Global,Aluminium,2050,,EJ/yr,energy
baseline_noce,Global,Cement,2019,,GJ/t,energy_intensity
baseline_noce,Global,Cement,2024,2.888496890003963,GJ/t,energy_intensity
baseline_noce,Global,Cement,2030,2.8847404479118226,GJ/t,energy_intensity
baseline_noce,Global,Cement,2035,2.8855719149344186,GJ/t,energy_intensity
baseline_noce,Global,Cement,2040,2.8472110126149275,GJ/t,energy_intensity
baseline_noce,Global,Cement,2050,2.785205182990723,GJ/t,energy_intensity
baseline_noce,Global,Iron and steel,2019,,GJ/t,energy_intensity
baseline_noce,Global,Iron and steel,2024,,GJ/t,energy_intensity
baseline_noce,Global,Iron and steel,2030,,GJ/t,energy_intensity
baseline_noce,Global,Iron and steel,2035,,GJ/t,energy_intensity
baseline_noce,Global,Iron and steel,2040,,GJ/t,energy_intensity
baseline_noce,Global,Iron and steel,2050,,GJ/t,energy_intensity
baseline_noce,Global,Aluminium,2019,,GJ/t,energy_intensity
baseline_noce,Global,Aluminium,2024,,GJ/t,energy_intensity
baseline_noce,Global,Aluminium,2030,,GJ/t,energy_intensity
baseline_noce,Global,Aluminium,2035,,GJ/t,energy_intensity
baseline_noce,Global,Aluminium,2040,,GJ/t,energy_intensity
baseline_noce,Global,Aluminium,2050,,GJ/t,energy_intensity
baseline_noce,Global,Cement,2019,2.542758438447978,GtCO2e/yr,emissions
baseline_noce,Global,Cement,2024,2.36069368367247,GtCO2e/yr,emissions
baseline_noce,Global,Cement,2030,2.0977976651628745,GtCO2e/yr,emissions
baseline_noce,Global,Cement,2035,1.9921680957149694,GtCO2e/yr,emissions
baseline_noce,Global,Cement,2040,1.9110899971156512,GtCO2e/yr,emissions
baseline_noce,Global,Cement,2050,1.7181234608434015,GtCO2e/yr,emissions
baseline_noce,Global,Iron and steel,2019,2.74565603423791,GtCO2e/yr,emissions
baseline_noce,Global,Iron and steel,2024,2.6405834046078245,GtCO2e/yr,emissions
baseline_noce,Global,Iron and steel,2030,2.273480511099978,GtCO2e/yr,emissions
baseline_noce,Global,Iron and steel,2035,1.7835914059599012,GtCO2e/yr,emissions
baseline_noce,Global,Iron and steel,2040,1.402917936420128,GtCO2e/yr,emissions
baseline_noce,Global,Iron and steel,2050,,GtCO2e/yr,emissions
baseline_noce,Global,Aluminium,2019,,GtCO2e/yr,emissions
baseline_noce,Global,Aluminium,2024,,GtCO2e/yr,emissions
baseline_noce,Global,Aluminium,2030,,GtCO2e/yr,emissions
baseline_noce,Global,Aluminium,2035,,GtCO2e/yr,emissions
baseline_noce,Global,Aluminium,2040,,GtCO2e/yr,emissions
baseline_noce,Global,Aluminium,2050,,GtCO2e/yr,emissions
baseline_noce,Global,Cement,2019,27.356840966058222,%,emissions_share
baseline_noce,Global,Cement,2024,24.127643958029335,%,emissions_share
baseline_noce,Global,Cement,2030,21.29557149365643,%,emissions_share
baseline_noce,Global,Cement,2035,21.049018098421573,%,emissions_share
baseline_noce,Global,Cement,2040,21.94098749588175,%,emissions_share
baseline_noce,Global,Cement,2050,38.58798026074687,%,emissions_share
baseline_noce,Global,Iron and steel,2019,29.539760576703067,%,emissions_share
